region,variable_label,nivel,year,value,variable_code,unidad
Antioquia,Analfabetismo,Departamento,2018,9.0,analfabetismo,porcentaje
Antioquia,Bajo logro educativo,Departamento,2018,46.0,bajo_logro_educativo,porcentaje
Antioquia,Barreras a servicios para cuidado de la primera infancia,Departamento,2018,6.6,cuidado_primera_infancia,porcentaje
Antioquia,Barreras de acceso a servicios de salud,Departamento,2018,3.6,barreras_acceso_salud,porcentaje
Antioquia,Desempleo de larga duración,Departamento,2018,13.2,desempleo_larga_duracion,porcentaje
Antioquia,Hacinamiento crítico,Departamento,2018,6.2,hacinamiento_critico,porcentaje
Antioquia,Inadecuada eliminación de excretas,Departamento,2018,13.1,excretas_inadecuadas,porcentaje
Antioquia,Inasistencia escolar,Departamento,2018,3.1,inasistencia_escolar,porcentaje
Antioquia,Material inadecuado de paredes exteriores,Departamento,2018,3.7,paredes_inadecuadas,porcentaje
Antioquia,Material inadecuado de pisos,Departamento,2018,3.8,pisos_inadecuados,porcentaje
Antioquia,Rezago escolar,Departamento,2018,25.4,rezago_escolar,porcentaje
Antioquia,Sin acceso a fuente de agua mejorada,Departamento,2018,12.6,sin_agua_mejorada,porcentaje
Antioquia,Sin aseguramiento en salud,Departamento,2018,7.3,sin_aseguramiento_salud,porcentaje
Antioquia,Trabajo infantil,Departamento,2018,1.4,trabajo_infantil,porcentaje
Antioquia,Trabajo informal,Departamento,2018,66.2,trabajo_informal,porcentaje
Atlántico,Analfabetismo,Departamento,2018,8.2,analfabetismo,porcentaje
Atlántico,Bajo logro educativo,Departamento,2018,33.6,bajo_logro_educativo,porcentaje
Atlántico,Barreras a servicios para cuidado de la primera infancia,Departamento,2018,12.3,cuidado_primera_infancia,porcentaje
Atlántico,Barreras de acceso a servicios de salud,Departamento,2018,10.5,barreras_acceso_salud,porcentaje
Atlántico,Desempleo de larga duración,Departamento,2018,8.2,desempleo_larga_duracion,porcentaje
Atlántico,Hacinamiento crítico,Departamento,2018,14.2,hacinamiento_critico,porcentaje
Atlántico,Inadecuada eliminación de excretas,Departamento,2018,13.3,excretas_inadecuadas,porcentaje
Atlántico,Inasistencia escolar,Departamento,2018,3.7,inasistencia_escolar,porcentaje
Atlántico,Material inadecuado de paredes exteriores,Departamento,2018,2.4,paredes_inadecuadas,porcentaje
Atlántico,Material inadecuado de pisos,Departamento,2018,2.7,pisos_inadecuados,porcentaje
Atlántico,Rezago escolar,Departamento,2018,33.1,rezago_escolar,porcentaje
Atlántico,Sin acceso a fuente de agua mejorada,Departamento,2018,2.0,sin_agua_mejorada,porcentaje
Atlántico,Sin aseguramiento en salud,Departamento,2018,14.4,sin_aseguramiento_salud,porcentaje
Atlántico,Trabajo infantil,Departamento,2018,1.5,trabajo_infantil,porcentaje
Atlántico,Trabajo informal,Departamento,2018,79.3,trabajo_informal,porcentaje
Bogotá,Analfabetismo,Departamento,2018,1.6,analfabetismo,porcentaje
Bogotá,Bajo logro educativo,Departamento,2018,18.6,bajo_logro_educativo,porcentaje
Bogotá,Barreras a servicios para cuidado de la primera infancia,Departamento,2018,9.4,cuidado_primera_infancia,porcentaje
Bogotá,Barreras de acceso a servicios de salud,Departamento,2018,1.2,barreras_acceso_salud,porcentaje
Bogotá,Desempleo de larga duración,Departamento,2018,12.8,desempleo_larga_duracion,porcentaje
Bogotá,Hacinamiento crítico,Departamento,2018,5.3,hacinamiento_critico,porcentaje
Bogotá,Inadecuada eliminación de excretas,Departamento,2018,0.4,excretas_inadecuadas,porcentaje
Bogotá,Inasistencia escolar,Departamento,2018,1.4,inasistencia_escolar,porcentaje
Bogotá,Material inadecuado de paredes exteriores,Departamento,2018,0.2,paredes_inadecuadas,porcentaje
Bogotá,Material inadecuado de pisos,Departamento,2018,0.0,pisos_inadecuados,porcentaje
Bogotá,Rezago escolar,Departamento,2018,21.2,rezago_escolar,porcentaje
Bogotá,Sin acceso a fuente de agua mejorada,Departamento,2018,0.4,sin_agua_mejorada,porcentaje
Bogotá,Sin aseguramiento en salud,Departamento,2018,12.6,sin_aseguramiento_salud,porcentaje
Bogotá,Trabajo infantil,Departamento,2018,0.6,trabajo_infantil,porcentaje
Bogotá,Trabajo informal,Departamento,2018,52.7,trabajo_informal,porcentaje
Bolívar,Analfabetismo,Departamento,2018,17.3,analfabetismo,porcentaje
Bolívar,Bajo logro educativo,Departamento,2018,48.9,bajo_logro_educativo,porcentaje
Bolívar,Barreras a servicios para cuidado de la primera infancia,Departamento,2018,10.2,cuidado_primera_infancia,porcentaje
Bolívar,Barreras de acceso a servicios de salud,Departamento,2018,9.1,barreras_acceso_salud,porcentaje
Bolívar,Desempleo de larga duración,Departamento,2018,11.0,desempleo_larga_duracion,porcentaje
Bolívar,Hacinamiento crítico,Departamento,2018,16.7,hacinamiento_critico,porcentaje
Bolívar,Inadecuada eliminación de excretas,Departamento,2018,39.9,excretas_inadecuadas,porcentaje
Bolívar,Inasistencia escolar,Departamento,2018,4.9,inasistencia_escolar,porcentaje
Bolívar,Material inadecuado de paredes exteriores,Departamento,2018,4.0,paredes_inadecuadas,porcentaje
Bolívar,Material inadecuado de pisos,Departamento,2018,18.0,pisos_inadecuados,porcentaje
Bolívar,Rezago escolar,Departamento,2018,32.3,rezago_escolar,porcentaje
Bolívar,Sin acceso a fuente de agua mejorada,Departamento,2018,22.6,sin_agua_mejorada,porcentaje
Bolívar,Sin aseguramiento en salud,Departamento,2018,10.5,sin_aseguramiento_salud,porcentaje
Bolívar,Trabajo infantil,Departamento,2018,2.0,trabajo_infantil,porcentaje
Bolívar,Trabajo informal,Departamento,2018,86.2,trabajo_informal,porcentaje
Boyacá,Analfabetismo,Departamento,2018,10.0,analfabetismo,porcentaje
Boyacá,Bajo logro educativo,Departamento,2018,55.8,bajo_logro_educativo,porcentaje
Boyacá,Barreras a servicios para cuidado de la primera infancia,Departamento,2018,4.8,cuidado_primera_infancia,porcentaje
Boyacá,Barreras de acceso a servicios de salud,Departamento,2018,6.3,barreras_acceso_salud,porcentaje
Boyacá,Desempleo de larga duración,Departamento,2018,15.6,desempleo_larga_duracion,porcentaje
Boyacá,Hacinamiento crítico,Departamento,2018,4.9,hacinamiento_critico,porcentaje
Boyacá,Inadecuada eliminación de excretas,Departamento,2018,7.7,excretas_inadecuadas,porcentaje
Boyacá,Inasistencia escolar,Departamento,2018,2.1,inasistencia_escolar,porcentaje
Boyacá,Material inadecuado de paredes exteriores,Departamento,2018,0.5,paredes_inadecuadas,porcentaje
Boyacá,Material inadecuado de pisos,Departamento,2018,5.1,pisos_inadecuados,porcentaje
Boyacá,Rezago escolar,Departamento,2018,28.6,rezago_escolar,porcentaje
Boyacá,Sin acceso a fuente de agua mejorada,Departamento,2018,18.9,sin_agua_mejorada,porcentaje
Boyacá,Sin aseguramiento en salud,Departamento,2018,7.1,sin_aseguramiento_salud,porcentaje
Boyacá,Trabajo infantil,Departamento,2018,1.7,trabajo_infantil,porcentaje
Boyacá,Trabajo informal,Departamento,2018,79.2,trabajo_informal,porcentaje
Caldas,Analfabetismo,Departamento,2018,9.1,analfabetismo,porcentaje
Caldas,Bajo logro educativo,Departamento,2018,50.5,bajo_logro_educativo,porcentaje
Caldas,Barreras a servicios para cuidado de la primera infancia,Departamento,2018,5.1,cuidado_primera_infancia,porcentaje
Caldas,Barreras de acceso a servicios de salud,Departamento,2018,3.2,barreras_acceso_salud,porcentaje
Caldas,Desempleo de larga duración,Departamento,2018,15.7,desempleo_larga_duracion,porcentaje
Caldas,Hacinamiento crítico,Departamento,2018,4.6,hacinamiento_critico,porcentaje
Caldas,Inadecuada eliminación de excretas,Departamento,2018,6.1,excretas_inadecuadas,porcentaje
Caldas,Inasistencia escolar,Departamento,2018,1.6,inasistencia_escolar,porcentaje
Caldas,Material inadecuado de paredes exteriores,Departamento,2018,1.3,paredes_inadecuadas,porcentaje
Caldas,Material inadecuado de pisos,Departamento,2018,0.5,pisos_inadecuados,porcentaje
Caldas,Rezago escolar,Departamento,2018,23.8,rezago_escolar,porcentaje
Caldas,Sin acceso a fuente de agua mejorada,Departamento,2018,10.5,sin_agua_mejorada,porcentaje
Caldas,Sin aseguramiento en salud,Departamento,2018,10.4,sin_aseguramiento_salud,porcentaje
Caldas,Trabajo infantil,Departamento,2018,1.6,trabajo_infantil,porcentaje
Caldas,Trabajo informal,Departamento,2018,68.3,trabajo_informal,porcentaje
Caquetá,Analfabetismo,Departamento,2018,11.5,analfabetismo,porcentaje
Caquetá,Bajo logro educativo,Departamento,2018,64.4,bajo_logro_educativo,porcentaje
Caquetá,Barreras a servicios para cuidado de la primera infancia,Departamento,2018,7.9,cuidado_primera_infancia,porcentaje
Caquetá,Barreras de acceso a servicios de salud,Departamento,2018,7.7,barreras_acceso_salud,porcentaje
Caquetá,Desempleo de larga duración,Departamento,2018,10.6,desempleo_larga_duracion,porcentaje
Caquetá,Hacinamiento crítico,Departamento,2018,8.3,hacinamiento_critico,porcentaje
Caquetá,Inadecuada eliminación de excretas,Departamento,2018,12.1,excretas_inadecuadas,porcentaje
Caquetá,Inasistencia escolar,Departamento,2018,6.7,inasistencia_escolar,porcentaje
Caquetá,Material inadecuado de paredes exteriores,Departamento,2018,9.4,paredes_inadecuadas,porcentaje
Caquetá,Material inadecuado de pisos,Departamento,2018,6.1,pisos_inadecuados,porcentaje
Caquetá,Rezago escolar,Departamento,2018,34.6,rezago_escolar,porcentaje
Caquetá,Sin acceso a fuente de agua mejorada,Departamento,2018,23.4,sin_agua_mejorada,porcentaje
Caquetá,Sin aseguramiento en salud,Departamento,2018,7.3,sin_aseguramiento_salud,porcentaje
Caquetá,Trabajo infantil,Departamento,2018,3.3,trabajo_infantil,porcentaje
Caquetá,Trabajo informal,Departamento,2018,87.6,trabajo_informal,porcentaje
Cauca,Analfabetismo,Departamento,2018,15.3,analfabetismo,porcentaje
Cauca,Bajo logro educativo,Departamento,2018,63.6,bajo_logro_educativo,porcentaje
Cauca,Barreras a servicios para cuidado de la primera infancia,Departamento,2018,5.8,cuidado_primera_infancia,porcentaje
Cauca,Barreras de acceso a servicios de salud,Departamento,2018,9.2,barreras_acceso_salud,porcentaje
Cauca,Desempleo de larga duración,Departamento,2018,9.2,desempleo_larga_duracion,porcentaje
Cauca,Hacinamiento crítico,Departamento,2018,5.0,hacinamiento_critico,porcentaje
Cauca,Inadecuada eliminación de excretas,Departamento,2018,11.4,excretas_inadecuadas,porcentaje
Cauca,Inasistencia escolar,Departamento,2018,4.0,inasistencia_escolar,porcentaje
Cauca,Material inadecuado de paredes exteriores,Departamento,2018,3.2,paredes_inadecuadas,porcentaje
Cauca,Material inadecuado de pisos,Departamento,2018,19.1,pisos_inadecuados,porcentaje
Cauca,Rezago escolar,Departamento,2018,31.3,rezago_escolar,porcentaje
Cauca,Sin acceso a fuente de agua mejorada,Departamento,2018,21.8,sin_agua_mejorada,porcentaje
Cauca,Sin aseguramiento en salud,Departamento,2018,9.2,sin_aseguramiento_salud,porcentaje
Cauca,Trabajo infantil,Departamento,2018,3.6,trabajo_infantil,porcentaje
Cauca,Trabajo informal,Departamento,2018,87.1,trabajo_informal,porcentaje
Cesar,Analfabetismo,Departamento,2018,16.2,analfabetismo,porcentaje
Cesar,Bajo logro educativo,Departamento,2018,51.9,bajo_logro_educativo,porcentaje
Cesar,Barreras a servicios para cuidado de la primera infancia,Departamento,2018,14.6,cuidado_primera_infancia,porcentaje
Cesar,Barreras de acceso a servicios de salud,Departamento,2018,9.7,barreras_acceso_salud,porcentaje
Cesar,Desempleo de larga duración,Departamento,2018,10.3,desempleo_larga_duracion,porcentaje
Cesar,Hacinamiento crítico,Departamento,2018,18.6,hacinamiento_critico,porcentaje
Cesar,Inadecuada eliminación de excretas,Departamento,2018,12.4,excretas_inadecuadas,porcentaje
Cesar,Inasistencia escolar,Departamento,2018,5.9,inasistencia_escolar,porcentaje
Cesar,Material inadecuado de paredes exteriores,Departamento,2018,2.8,paredes_inadecuadas,porcentaje
Cesar,Material inadecuado de pisos,Departamento,2018,10.3,pisos_inadecuados,porcentaje
Cesar,Rezago escolar,Departamento,2018,36.7,rezago_escolar,porcentaje
Cesar,Sin acceso a fuente de agua mejorada,Departamento,2018,8.6,sin_agua_mejorada,porcentaje
Cesar,Sin aseguramiento en salud,Departamento,2018,14.9,sin_aseguramiento_salud,porcentaje
Cesar,Trabajo infantil,Departamento,2018,3.2,trabajo_infantil,porcentaje
Cesar,Trabajo informal,Departamento,2018,86.9,trabajo_informal,porcentaje
Córdoba,Analfabetismo,Departamento,2018,24.1,analfabetismo,porcentaje
Córdoba,Bajo logro educativo,Departamento,2018,57.4,bajo_logro_educativo,porcentaje
Córdoba,Barreras a servicios para cuidado de la primera infancia,Departamento,2018,8.7,cuidado_primera_infancia,porcentaje
Córdoba,Barreras de acceso a servicios de salud,Departamento,2018,5.6,barreras_acceso_salud,porcentaje
Córdoba,Desempleo de larga duración,Departamento,2018,9.4,desempleo_larga_duracion,porcentaje
Córdoba,Hacinamiento crítico,Departamento,2018,14.7,hacinamiento_critico,porcentaje
Córdoba,Inadecuada eliminación de excretas,Departamento,2018,26.7,excretas_inadecuadas,porcentaje
Córdoba,Inasistencia escolar,Departamento,2018,3.6,inasistencia_escolar,porcentaje
Córdoba,Material inadecuado de paredes exteriores,Departamento,2018,6.1,paredes_inadecuadas,porcentaje
Córdoba,Material inadecuado de pisos,Departamento,2018,32.6,pisos_inadecuados,porcentaje
Córdoba,Rezago escolar,Departamento,2018,33.7,rezago_escolar,porcentaje
Córdoba,Sin acceso a fuente de agua mejorada,Departamento,2018,19.7,sin_agua_mejorada,porcentaje
Córdoba,Sin aseguramiento en salud,Departamento,2018,8.3,sin_aseguramiento_salud,porcentaje
Córdoba,Trabajo infantil,Departamento,2018,2.4,trabajo_infantil,porcentaje
Córdoba,Trabajo informal,Departamento,2018,88.8,trabajo_informal,porcentaje
Cundinamarca,Analfabetismo,Departamento,2018,6.2,analfabetismo,porcentaje
Cundinamarca,Bajo logro educativo,Departamento,2018,47.5,bajo_logro_educativo,porcentaje
Cundinamarca,Barreras a servicios para cuidado de la primera infancia,Departamento,2018,7.9,cuidado_primera_infancia,porcentaje
Cundinamarca,Barreras de acceso a servicios de salud,Departamento,2018,3.6,barreras_acceso_salud,porcentaje
Cundinamarca,Desempleo de larga duración,Departamento,2018,13.0,desempleo_larga_duracion,porcentaje
Cundinamarca,Hacinamiento crítico,Departamento,2018,4.8,hacinamiento_critico,porcentaje
Cundinamarca,Inadecuada eliminación de excretas,Departamento,2018,2.9,excretas_inadecuadas,porcentaje
Cundinamarca,Inasistencia escolar,Departamento,2018,2.2,inasistencia_escolar,porcentaje
Cundinamarca,Material inadecuado de paredes exteriores,Departamento,2018,0.8,paredes_inadecuadas,porcentaje
Cundinamarca,Material inadecuado de pisos,Departamento,2018,2.0,pisos_inadecuados,porcentaje
Cundinamarca,Rezago escolar,Departamento,2018,26.4,rezago_escolar,porcentaje
Cundinamarca,Sin acceso a fuente de agua mejorada,Departamento,2018,9.1,sin_agua_mejorada,porcentaje
Cundinamarca,Sin aseguramiento en salud,Departamento,2018,11.4,sin_aseguramiento_salud,porcentaje
Cundinamarca,Trabajo infantil,Departamento,2018,1.2,trabajo_infantil,porcentaje
Cundinamarca,Trabajo informal,Departamento,2018,69.5,trabajo_informal,porcentaje
Chocó,Analfabetismo,Departamento,2018,27.7,analfabetismo,porcentaje
Chocó,Bajo logro educativo,Departamento,2018,64.4,bajo_logro_educativo,porcentaje
Chocó,Barreras a servicios para cuidado de la primera infancia,Departamento,2018,12.3,cuidado_primera_infancia,porcentaje
Chocó,Barreras de acceso a servicios de salud,Departamento,2018,6.0,barreras_acceso_salud,porcentaje
Chocó,Desempleo de larga duración,Departamento,2018,14.7,desempleo_larga_duracion,porcentaje
Chocó,Hacinamiento crítico,Departamento,2018,11.0,hacinamiento_critico,porcentaje
Chocó,Inadecuada eliminación de excretas,Departamento,2018,71.3,excretas_inadecuadas,porcentaje
Chocó,Inasistencia escolar,Departamento,2018,5.7,inasistencia_escolar,porcentaje
Chocó,Material inadecuado de paredes exteriores,Departamento,2018,14.2,paredes_inadecuadas,porcentaje
Chocó,Material inadecuado de pisos,Departamento,2018,4.9,pisos_inadecuados,porcentaje
Chocó,Rezago escolar,Departamento,2018,37.3,rezago_escolar,porcentaje
Chocó,Sin acceso a fuente de agua mejorada,Departamento,2018,68.0,sin_agua_mejorada,porcentaje
Chocó,Sin aseguramiento en salud,Departamento,2018,13.0,sin_aseguramiento_salud,porcentaje
Chocó,Trabajo infantil,Departamento,2018,2.5,trabajo_infantil,porcentaje
Chocó,Trabajo informal,Departamento,2018,90.2,trabajo_informal,porcentaje
Huila,Analfabetismo,Departamento,2018,9.1,analfabetismo,porcentaje
Huila,Bajo logro educativo,Departamento,2018,59.7,bajo_logro_educativo,porcentaje
Huila,Barreras a servicios para cuidado de la primera infancia,Departamento,2018,8.7,cuidado_primera_infancia,porcentaje
Huila,Barreras de acceso a servicios de salud,Departamento,2018,5.1,barreras_acceso_salud,porcentaje
Huila,Desempleo de larga duración,Departamento,2018,13.2,desempleo_larga_duracion,porcentaje
Huila,Hacinamiento crítico,Departamento,2018,5.7,hacinamiento_critico,porcentaje
Huila,Inadecuada eliminación de excretas,Departamento,2018,7.2,excretas_inadecuadas,porcentaje
Huila,Inasistencia escolar,Departamento,2018,4.0,inasistencia_escolar,porcentaje
Huila,Material inadecuado de paredes exteriores,Departamento,2018,1.1,paredes_inadecuadas,porcentaje
Huila,Material inadecuado de pisos,Departamento,2018,6.1,pisos_inadecuados,porcentaje
Huila,Rezago escolar,Departamento,2018,33.0,rezago_escolar,porcentaje
Huila,Sin acceso a fuente de agua mejorada,Departamento,2018,15.1,sin_agua_mejorada,porcentaje
Huila,Sin aseguramiento en salud,Departamento,2018,6.5,sin_aseguramiento_salud,porcentaje
Huila,Trabajo infantil,Departamento,2018,2.3,trabajo_infantil,porcentaje
